From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
06-03-2019 08:00,294.84,52.67,91.23,1.62,1.58,3.27,78.81,16.2,17.33,35.65,25.62,93.47
06-03-2019 16:00,270.62,179.74,98.19,0.78,1.25,4.85,198.75,3.81,12.18,28.76,38.06,67.44
07-03-2019 00:00,633.16,343.42,95.29,0.3,2.57,9.43,344.69,6.03,8.75,39.19,51,164
07-03-2019 08:00,275.62,97.9,113.34,0.78,1.58,4.4,140.12,13.8,17.38,45.21,30.49,102.81
07-03-2019 16:00,283.5,143.59,115.75,0.52,1.53,5.79,178.64,7.09,17.24,32.97,38.22,91.19
08-03-2019 00:00,455.28,179.71,91.69,0.33,1.54,8.03,198.48,4.34,13.05,39.37,34.81,189
08-03-2019 08:00,268.22,73.57,98.41,1,1.41,4.21,112.31,18.28,28.02,41.1,30.63,99.66
08-03-2019 16:00,278.47,92.17,103.76,0.45,2.78,4.84,130.32,7.76,19,34.55,28.94,111.28
09-03-2019 00:00,266.91,96.46,64.18,0.35,1.27,4.97,112.81,3.25,14.27,35.03,25.88,136.22
09-03-2019 08:00,226.81,85.63,81.35,1.69,1.82,3.26,113.02,19.15,21.98,32.45,27.51,66.5
09-03-2019 16:00,169.94,92.01,82.75,1.35,0.89,3.04,119.21,13.92,11.67,28.95,28.49,39.78
10-03-2019 00:00,292.32,134.67,83.55,0.49,1.09,3.28,154.28,9.3,9.78,29.41,26.57,83.5
10-03-2019 08:00,206.47,73.29,88.22,1.12,1.7,2.56,106.73,33.62,16.03,30.48,24.27,67.09
10-03-2019 16:00,240.12,99.92,98.95,0.42,1.96,4.02,134.34,19.48,21.81,25.7,30.97,81.47
11-03-2019 00:00,245.66,34.15,78.91,1.25,2.16,5.65,69.8,21.97,42.77,31.27,66.08,125.25
11-03-2019 08:00,279.16,7.49,52.67,3.51,2.45,2.67,34.12,48.04,17.1,32.23,24.09,64.41
11-03-2019 16:00,214.69,58.56,91.65,0.87,2.54,3.86,96.47,21.43,16.44,32.92,45.71,78.81
12-03-2019 00:00,148.22,57.31,50.75,0.38,2.56,3.87,73.7,7.55,10.88,34.93,18.85,88.81
12-03-2019 08:00,146.41,62.11,75.95,1.24,1.79,4.82,91.12,21.67,14.6,28.52,17.45,45.78
12-03-2019 16:00,192.62,88.14,65.92,1.23,2.59,2.79,106.82,16.73,17.46,18.48,23.14,46.47
13-03-2019 00:00,204.38,51.7,56.82,0.34,5.05,2.87,72.35,13.66,16.82,23.07,17.31,82.38
